incident_id,severity,compliance_score,incident_date,inspection_date,closed_date,site,description
INC-001,High,85,2024-01-15,2024-01-10,2024-01-20,Site Alpha,Equipment malfunction in sector B
INC-002,low,92,2024-02-01,2024-01-28,2024-02-10,Site Beta,Minor safety protocol deviation
INC-003,Critical,45,2024-03-10,2024-03-05,2024-03-15,Site Gamma,Major compliance breach detected
INC-004,med,78,2024-02-20,2024-02-18,2024-02-25,Site Alpha,Routine inspection finding
INC-005,High,91,2024-04-01,2024-03-28,2024-04-05,Site Delta,Fire safety system test failure
INC-006,Low,95,2024-01-22,2024-01-20,2024-01-25,Site Beta,Documentation gap identified
INC-007,moderate,67,2024-05-10,2024-05-08,2024-05-15,Site Gamma,Chemical storage non-compliance
INC-008,Critical,30,2024-03-20,2024-03-18,2024-03-25,Site Delta,Structural integrity concern
INC-009,High,88,2024-04-15,2024-04-12,2024-04-20,Site Alpha,Emergency exit obstruction
INC-010,Low,98,2024-06-01,2024-05-28,2024-06-05,Site Beta,Minor signage update needed
INC-011,high,72,2024-05-20,2024-05-18,2024-05-25,Site Gamma,Electrical system audit finding
INC-012,Medium,83,2024-06-15,2024-06-12,2024-06-18,Site Delta,PPE compliance check
INC-013,Low,96,2024-07-01,2024-06-28,2024-07-05,Site Alpha,Training record update required
INC-014,crit,25,2024-04-20,2024-04-18,2024-04-22,Site Beta,Hazardous material spill
INC-015,High,77,2024-08-01,2024-07-28,2024-08-05,Site Gamma,Access control failure
INC-016,Medium,89,2024-07-15,2024-07-12,2024-07-18,Site Delta,Ventilation system maintenance
INC-017,Low,94,2024-08-10,2024-08-07,2024-08-12,Site Alpha,First aid kit restocking
INC-018,High,62,2024-09-01,2024-08-28,2024-09-05,Site Beta,Scaffolding inspection overdue
INC-019,Medium,81,2024-09-15,2024-09-12,2024-09-18,Site Gamma,Noise level assessment
INC-020,Low,97,2024-10-01,2024-09-28,2024-10-03,Site Delta,Safety bulletin acknowledgment
